population_rank,city_id,city_name,longitude,latitude,state_id,image_url,geom
c001,Berlin,Berlin,13.405,52.52,Berlin,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_city_flags/Flag_of_Berlin.svg,
c002,Hamburg,Hamburg,9.9937,53.5511,Hamburg,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_city_flags/Flag_of_Hamburg.svg,
c003,Munich,Munich,11.582,48.1351,Bavaria,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_city_flags/Flag_of_Munich.svg,
c004,Colonge,Colonge,6.9603,50.9375,North_Rhine-Westphalia,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_city_flags/Flag_of_Colonge.svg,
c005,Frankfurt_am_Main,Frankfurt am Main,8.6821,50.1109,Hesse,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_city_flags/Flag_of_Frankfurt_am_Main.svg,
c006,Stuttgart,Stuttgart,9.1829,48.7758,Baden-Württemberg,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_city_flags/Flag_of_Stuttgart.svg,
c007,Düsseldorf,Düsseldorf,6.7735,51.2277,North_Rhine-Westphalia,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_city_flags/Flag_of_Düsseldorf.svg,
c008,Leipzig,Leipzig,12.3731,51.3397,Saxony,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_city_flags/Flag_of_Leipzig.svg,
c009,Dortmund,Dortmund,7.4653,51.5136,North_Rhine-Westphalia,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_city_flags/Flag_of_Dortmund.svg,
c010,Essen,Essen,7.0123,51.4556,North_Rhine-Westphalia,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_city_flags/Flag_of_Essen.svg,
c011,Bremen,Bremen,8.8017,53.0793,Bremen,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_city_flags/Flag_of_Bremen.svg,
c012,Dresden,Dresden,13.7373,51.0504,Saxony,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_city_flags/Flag_of_Dresden.svg,
